"","restaurants","bars","cafe","college","casino","nightclub","pharmacy","theatre","university","antiques","art","bakery","tattoo","cinema","library","marketplace","railway_station","subway","hotels","volume"
"1424",10,0,21,0,0,1,0,0,0,0,0,0,0,1,0,0,64,0,2,"Normal"
"1425",70,4,44,0,0,1,7,0,145,2,10,0,0,0,0,0,1,10,82,"High"
"1426",834,76,286,22,10,3,14,437,145,10,19,31,5,18,6,21,5,19,271,"Massive"
"1427",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1428",1401,204,486,24,12,42,22,270,1,12,61,44,20,31,6,13,4,61,366,"Massive"
"1429",81,4,36,0,0,1,1,142,148,1,0,7,0,7,18,0,2,0,55,"High"
"1430",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1431",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1432",9,0,15,0,0,0,2,0,9,0,0,2,0,0,0,0,0,0,50,"Normal"
"1433",130,31,113,0,0,1,3,68,0,0,10,9,0,0,1,0,19,10,134,"High"
"1434",14,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Normal"
"1435",14,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Normal"
"1436",77,17,91,38,0,1,1,0,621,0,2,0,1,0,0,11,0,2,27,"Very High"
"1437",310,18,219,29,0,0,8,55,810,0,33,1,0,0,43,0,2,33,349,"Very High"
"1438",152,12,76,0,0,0,26,0,0,1,0,15,0,0,2,0,2,0,193,"High"
"1439",26,15,29,0,0,0,5,1,0,0,0,0,0,1,18,92,3,0,0,"Normal"
"1440",181,4,96,0,0,0,40,0,0,1,1,9,0,0,1,31,3,1,368,"High"
"1441",32,0,8,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,"Normal"
"1442",532,80,262,0,0,1,32,0,30,0,9,29,0,1,7,48,4,9,125,"Very High"
"1443",101,16,78,0,0,0,12,0,0,0,0,22,0,2,0,0,1,0,0,"Normal"
"1444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1445",8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Normal"
"1446",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Normal"
"1447",317,84,254,1,0,1,37,1,16,0,5,4,0,0,7,48,3,5,113,"Very High"
"1448",72,13,20,0,0,0,5,0,85,0,0,1,0,0,0,0,1,0,185,"High"
"1449",131,11,44,0,0,0,13,0,0,34,62,15,0,0,2,1,3,62,212,"High"
"1450",191,14,166,0,2,0,35,0,0,0,18,16,0,0,0,0,40,18,565,"Very High"
"1451",127,24,121,13,0,7,11,3,72,0,1,0,0,2,1,12,1,1,21,"High"
"1452",574,127,359,17,0,20,16,1,29,0,15,33,0,4,0,28,27,15,74,"Very High"
"1453",99,8,25,0,0,0,6,0,0,9,16,1,0,0,0,0,1,16,122,"High"
"1454",192,1,82,0,0,0,39,0,0,11,19,19,0,0,2,29,2,19,278,"High"
"1455",1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,"Normal"
"1456",61,2,34,6,0,1,3,1,0,0,0,7,0,0,1,0,30,0,217,"High"
"1457",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,"Normal"
"1458",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Normal"
"1459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"1460",102,8,45,0,1,0,12,0,0,0,0,1,0,0,0,0,2,0,209,"High"
"1461",49,34,42,0,0,0,3,0,0,0,4,6,1,0,1,0,18,4,2,"Normal"
"1462",97,3,57,0,1,0,13,0,0,0,0,2,0,0,0,0,38,0,225,"High"
"1463",98,8,41,0,1,0,11,0,0,0,0,1,0,0,0,0,2,0,208,"High"
"1464",21,5,42,0,0,0,5,1,0,0,0,7,0,0,0,0,1,0,23,"Normal"
"1465",5,1,10,0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,"Normal"
